"gph","GPH_name","lat","lng"
"6151","Abdelkader Emirate",NA,NA
"682","Aden Protectorate",NA,NA
"4525","Akyem",NA,NA
"2551","Allenstein Plebiscite Zone",NA,NA
"4908","Azande",NA,NA
"5513","Barotseland (Lozi)",NA,NA
"4841","Bateke (Anziku)",NA,NA
"4044","British Guinea (Bolama)",NA,NA
"8523","Bulungan",NA,NA
"4397","Busuma",NA,NA
"8574","Buton",NA,NA
"7574","Chota Nagpur",NA,NA
"5511","Citimukulu Bemba",NA,NA
"1002","Confederate States of America",NA,NA
"4534","Danish Posts (Gold Coast)",NA,NA
"4527","Denkyira",NA,NA
"7705","Dir",NA,NA
"4528","Fante",NA,NA
"4737","Fika",NA,NA
"4381","Futa Djallon",NA,NA
"5324","Gomma",NA,NA
"4531","Gonja",NA,NA
"7123","Gulangyu (Kulangsu)",NA,NA
"4342","Gun",NA,NA
"5306","Harar",NA,NA
"5102","Haya",NA,NA
"277","Hesse Homburg",NA,NA
"4742","Igala",NA,NA
"4773","Ijebu",NA,NA
"6527","Jebel Druze",NA,NA
"4325","Kaarta",NA,NA
"7799","Kantarawadi (Eastern Karenni)",NA,NA
"5104","Karagwe",NA,NA
"7070","Kazakh Greater Horde",NA,NA
"5517","Kazembe",NA,NA
"4343","Ketu",NA,NA
"4515","Koya-Temne",NA,NA
"4910","Kuba",NA,NA
"8521","Kutai",NA,NA
"7761","Loi Maw",NA,NA
"5615","Lydenburg Republic",NA,NA
"4326","Macina",NA,NA
"4394","Mamprussi",NA,NA
"2552","Marienwerder Plebiscite Zone",NA,NA
"253","Mecklenburg Strelitz",NA,NA
"332","Modena",NA,NA
"5512","Mwamba Bemba",NA,NA
"254","Nassau",NA,NA
"3503","New Greece",NA,NA
"5204","Obbia",NA,NA
"4395","Ouagadougou (Mossi Empire)",NA,NA
"4750","Oyo Empire",NA,NA
"7115","Provisional Government of the Republic of China",NA,NA
"7116","Reformed Government of China",NA,NA
"258","Reuss, Older Line",NA,NA
"259","Reuss, Younger Line",NA,NA
"4334","Rip",NA,NA
"264","Saxe Coburg and Gotha",NA,NA
"2246","Saxe Lauenburg",NA,NA
"266","Saxe Meiningen",NA,NA
"274","Schaumburg Lippe",NA,NA
"2482","Schleswig Plebiscite Zone",NA,NA
"270","Schwarzburg Rudolstadt",NA,NA
"6255","Shilluk",NA,NA
"8533","Siak Sri Indrapura",NA,NA
"2553","Silesia Plebiscite Zone",NA,NA
"4336","Sine",NA,NA
"1001","States of America",NA,NA
"8551","Surakarta",NA,NA
"7701","Swat",NA,NA
"4901","Tippu Tip Empire",NA,NA
"2051","UK Bases in Ireland",NA,NA
"4832","Wadai",NA,NA
"5018","Wanga (Wanga Kingdom)",NA,NA
"4396","Yatenga",NA,NA
"8550","Yogyakarta",NA,NA
"4823","Zemio",NA,NA
"restOfTheWorld",NA,NA,NA
