RICname,geographical_area,continental,nb flows (partner),RICname period (starting year/ending year)
American America,America,yes,22,1916/1938
American Asia,Asia,yes,6,1925/1937
American Central America,Central America,no,9,1933/1938
American China,China,no,,
American Colonies,World,,80,1821/1938
American Oceania,Oceania,yes,68,1910/1938
American Polynesia,Polynesia,no,13,1872/1890
American West Indies,West Indies,no,45,1899/1938
Belgian Africa,Africa,yes,99,1912/1938
Belgian Colonies,World,,144,1909/1938
British Africa,Africa,yes,910,1821/1938
British America,America,yes,935,1821/1938
British America (Atlantic),America,,8,
British America (Pacific),America,,8,
British Arabia,Arabia,no,55,1897/1938
British Asia,Asia,yes,465,1849/1938
British Borneo,Borneo,no,285,1895/1938
British Central Africa,Central Africa,no,10,1913/1932
British Central America,Central America,no,63,1914/1938
British China,China,no,38,1888/1922
British Colonies,World,,3492,1821/1938
British East Indies,East Indies,no,888,1821/1938
British Eastern Africa,Eastern Africa,no,907,1868/1938
British Eastern Asia,Eastern Asia,no,46,1898/1920
British Equatorial Eastern Africa,Equatorial Eastern Africa,no,69,1921/1938
British Equatorial Western Africa,Equatorial Western Africa,no,41,1929/1938
British Europe,Europe,yes,114,1840/1938
British Indian Ocean Islands,Indian Ocean Islands,no,6,1934/1938
British Indochina,Indochina,,3,"1922,1937"
British Mediterranean Sea,Mediterranean Sea,no,499,1857/1938
British North Central America,North Central America,no,1,1920
British North Eastern America,North Eastern America,no,2,1864
British Northern Africa,Northern Africa,no,8,1925/1932
British Northern America,Northern America,no,1666,1823/1938
British Oceania,Oceania,yes,473,1873/1938
British South Atlantic,South Atlantic,,1,1886
British South Western Africa,South Western Africa,no,18,1923/1938
British Southern Africa,Southern Africa,no,28,1841/1938
British Southern America,Southern America,no,24,1853/1938
British West Indies,West Indies,no,1928,1821/1938
British Western Africa,Western Africa,no,709,1896/1938
British Western Asia,Western Asia,no,3,"1933,1937"
British World,World,,1,
Danish America,America,yes,78,1839/1918
Danish Colonies,World,,98,1844/1936
Danish Europe,Europe,yes,41,1895/1924
Danish Guyana,Guyana,,1,1890
Danish India,India,,12,1887/1924
Dutch Africa,Africa,yes,1,
Dutch America,America,yes,140,1862/1938
Dutch Asia,Asia,yes,73,1859/1938
Dutch Borneo,Borneo,no,272,1870/1938
Dutch Central America,Central America,no,10,1933/1938
Dutch Colonies,World,,819,1822/1938
Dutch Eastern Africa,Eastern Africa,no,2,1919
Dutch India,India,,37,1864/1929
Dutch Oceania,Oceania,yes,232,1861/1938
Dutch South Western Africa,South Western Africa,no,2,1919
European America,America,yes,6,1848/1926
French Africa,Africa,yes,764,1821/1938
French America,America,yes,225,1849/1938
French Asia,Asia,yes,185,1881/1938
French Central America,Central America,no,15,1932/1938
French China,China,no,8,1903/1908
French Colonies,World,,3159,1787/1938
French East Indies,East Indies,no,,
French Eastern Africa,Eastern Africa,no,84,1892/1938
French Eastern Asia,Eastern Asia,no,,
French Equatorial Western Africa,Equatorial Western Africa,no,49,1921/1938
French Mediterranean Sea,Mediterranean Sea,no,8,1917/1920
French Northern Africa,Northern Africa,no,1,
French Northern America,Northern America,no,53,1855/1900
French Oceania,Oceania,yes,61,1900/1938
French Southern Africa,Southern Africa,no,13,1914/1938
French Southern America,Southern America,no,14,1932/1938
French West Indies,West Indies,no,1173,1821/1938
French West Indies (West),West Indies,,1,
German Africa,Africa,yes,117,1889/1921
German Austria,Austria,,2,1835
German China,China,no,45,1900/1920
German Colonies,World,,128,1897/1918
German Oceania,Oceania,yes,99,1899/1920
German West Indies,West Indies,no,3,"1869,1873"
German Western Africa,Western Africa,no,142,1889/1921
Greek Asia,Asia,yes,2,"1921,1922"
Italian Africa,Africa,yes,219,1896/1938
Italian Asia,Asia,yes,4,1927/1931
Italian Austria,Austria,,13,1835/1866
Italian Colonies,World,,270,1901/1938
Japanese China,China,no,107,1910/1928
Japanese Colonies,World,,11,1919/1938
Japanese Oceania,Oceania,yes,7,1929/1937
Peruvian Colonies,World,,1,
Portuguese Africa,Africa,yes,592,1806/1938
Portuguese America,America,yes,5,1821/1899
Portuguese Asia,Asia,yes,210,1806/1938
Portuguese China,China,no,13,1928/1938
Portuguese Colonies,World,,622,1822/1938
Portuguese Eastern Africa,Eastern Africa,no,40,1884/1938
Portuguese Equatorial Western Africa,Equatorial Western Africa,no,36,1921/1938
Portuguese Europe,Europe,yes,1,
Portuguese Oceania,Oceania,yes,,
Portuguese South Eastern Africa,South Eastern Africa,no,,
Portuguese Southern Africa,Southern Africa,no,38,1929/1938
Portuguese West Indies,West Indies,no,1,
Portuguese Western Africa,Western Africa,no,531,1861/1938
Russian America,America,yes,2,1855
Russian China,China,no,11,1894/1906
Russian Colonies,World,,,
Russian North Eastern Asia,North Eastern Asia,no,2,"1859,186"
Russian North Western America,North Western America,no,29,1849/1868
Spanish Africa,Africa,yes,365,1873/1938
Spanish America,America,yes,175,1827/1918
Spanish Asia,Asia,yes,2,"1930,1932"
Spanish Colonies,World,,562,1806/1938
Spanish East Indies,East Indies,no,3,1894/1899
Spanish Eastern Africa,Eastern Africa,no,2,1913
Spanish Equatorial Western Africa,Equatorial Western Africa,no,,
Spanish Northern America,Northern America,no,5,1857/1868
Spanish Oceania,Oceania,yes,28,1875/1898
Spanish Southern Africa,Southern Africa,no,4,1935/1938
Spanish Southern America,Southern America,no,2,1821
Spanish West Indies,West Indies,no,383,1821/1899
Spanish West Indies (West),West Indies,,5,
Swedish America,America,yes,1,1834
Swedish Colonies,World,,70,1822/1878
Swedish West Indies,West Indies,no,83,1821/1880
